dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0080,B31(RQo),-55.4150674830128,-16.315183727492,2009,1,0,20,126,76,33,891
ctb0080,B31(Soja),-55.3699219297196,-16.2439894278573,2010,1,0,20,110,493,152,355
ctb0080,B31+(Brizantao),-55.4112688120909,-16.3081242356613,2008,1,0,20,116,108,30,862
ctb0080,B31+(Cambarazal),-56.2829358408323,-16.5506670176719,2009,1,0,20,123,475,400,125
ctb0080,B31+(Espinhal),-56.2920628083888,-16.5176769761555,2008,1,0,20,119,517,300,183
ctb0080,B31+(LVd),-55.317120363846,-16.1362355869848,2011,1,0,20,138,117,384,499
ctb0080,B31+(RQo),-55.4161303249594,-16.3156797040276,2009,1,0,20,133,76,34,890
ctb0080,B31+(Soja),-55.370614712889,-16.2450611319669,2008,1,0,20,105,444,134,422
ctb0080,B32(Brizantao),-55.4120526630137,-16.3072354327123,2008,1,0,20,130,91,30,879
ctb0080,B32(Cambarazal),-56.2834077103028,-16.5497827720708,2008,1,0,20,136,252,293,455
ctb0080,B32(Espinhal),-56.2931673737705,-16.5179880525468,2010,1,0,20,119,501,250,249
ctb0080,B32(LVd),-55.3162205520739,-16.1353970752731,2009,1,0,20,118,421,113,466
ctb0080,B32(RQo),-55.415106002926,-16.3150484572277,2010,1,0,20,121,94,31,875
ctb0080,B32(Soja),-55.369695499833,-16.244222654741,2011,1,0,20,112,444,134,422
ctb0080,B32+(Brizantao),-55.4111586364184,-16.3078613276648,2010,1,0,20,136,101,33,866
ctb0080,B32+(Cambarazal),-56.2827584802429,-16.5504765805055,2009,1,0,20,139,400,345,255
ctb0080,B32+(Espinhal),-56.2919962599601,-16.5179388959691,2010,1,0,20,110,584,300,116
ctb0080,B32+(LVd),-55.317300352685,-16.1359568558704,2010,1,0,20,130,401,123,476
ctb0080,B32+(RQo),-55.4159240949475,-16.3157233454466,2011,1,0,20,138,89,30,881
ctb0080,B32+(Soja),-55.3708037265573,-16.2448276168917,2009,1,0,20,102,471,140,389
ctb0080,B41(Brizantao),-55.4122749076984,-16.3075262933013,2010,1,0,20,118,101,30,869
ctb0080,B41(Cambarazal),-56.2835120376282,-16.5494486706805,2011,1,0,20,132,366,275,359
ctb0080,B41(Espinhal),-56.2932711050861,-16.5178076132405,2010,1,0,20,124,417,267,316
